Bits,Unique Bit,Bytes
1,11100,228
1,10000,43
1,10101,25
0,10001,55
0,10010,205
1,01101,90
0,11110,74
0,01101,178
0,01011,30
0,01001,134
1,00101,14
0,01011,87
1,00100,83
0,00111,55
1,10100,189
1,00110,122
0,00001,161
0,11001,164
0,01011,187
1,10101,252
1,00110,43
0,01101,221
0,11101,135
1,11101,124
0,01111,64
0,01010,49
1,10000,149
1,11010,16
0,01001,122
1,01110,161
1,11111,228
1,11100,24
1,00101,103
1,01111,171
0,01110,199
0,11000,89
1,01110,152
1,11111,132
0,00010,91
1,00000,226
0,00110,112
1,00110,126
0,01010,197
1,10001,41
1,00000,166
0,11110,212
1,10101,0
0,00001,205
0,11100,14
1,10000,145
0,01100,200
0,00110,86
1,01111,207
0,01010,46
1,11110,199
0,00111,70
1,01011,80
0,00110,232
1,01100,230
1,01000,247
0,01000,98
0,10110,30
1,11111,144
0,00010,205
0,01110,149
0,00001,114
0,11111,178
1,01100,218
1,01010,131
1,01010,199
1,01101,161
0,00110,18
1,11010,44
0,10000,37
0,00000,207
0,01100,168
0,11010,160
1,00011,192
1,10100,148
0,10001,32
0,11001,81
0,00001,227
0,01011,107
0,01100,94
1,11110,96
1,01011,218
1,10110,162
0,00111,153
0,01000,169
1,11001,164
0,01000,106
1,01110,100
0,10001,3
1,11001,183
1,10111,247
1,10111,16
0,01100,22
1,01000,134
0,01111,101
1,01001,120
0,00001,226
0,10011,152
1,01100,202
1,10101,193
0,01110,139
0,01010,219
1,11001,235
1,01101,19
0,10101,18
1,00000,105
1,11110,145
1,00111,210
1,10100,94
0,00100,72
1,01001,186
1,00010,28
1,11000,155
1,01001,41
0,01110,210
1,01111,248
0,10101,231
1,00010,83
1,10000,247
1,01100,98
1,00001,10
0,00101,103
1,00001,217
0,00000,249
1,01010,94
0,00111,124
1,10001,206
0,10110,164
0,10110,56
0,10111,60
0,10011,182
1,00000,198
1,11011,226
0,01010,3
1,10001,30
0,01001,25
0,10011,31
1,01010,64
0,01101,76
0,00100,97
1,01101,236
0,01001,35
1,10010,51
1,00000,207
1,00111,69
0,01101,197
1,11111,117
1,10111,204
1,00010,78
1,00000,127
1,01011,239
1,01000,125
1,01100,58
1,11001,133
0,01011,74
0,11000,95
0,11100,11
0,01010,223
1,01100,197
0,01100,100
1,10101,43
0,10000,226
1,01100,248
1,01011,74
1,11011,136
1,01111,99
0,10101,199
1,10001,127
1,00110,135
1,00100,224
0,10011,4
1,01001,34
1,10010,37
0,00111,247
0,01001,5
0,00101,182
0,11100,199
1,10010,125
1,00101,13
1,11010,88
0,00011,172
1,10010,241
1,01101,39
1,10010,36
1,10011,185
1,10100,253
0,10111,110
0,11000,222
0,11100,188
1,11101,55
0,01001,43
0,11111,81
0,01110,88
0,11000,119
0,10000,237
0,01010,190
0,01100,115
0,11111,24
1,01100,188
1,11111,255
0,10010,119
0,10111,209
0,10011,179
1,11100,12
1,11001,123
0,11010,123
0,10010,183
1,00011,81
0,10000,192
1,01111,64
0,00101,215
1,10110,60
0,11000,201
0,11011,147
0,10001,9
1,00000,212
0,00110,140
0,00111,187
0,10000,106
0,11001,164
0,00011,229
1,11101,179
1,00000,160
1,00100,186
1,11000,27
0,11000,204
1,01111,196
0,01100,196
1,00100,90
0,01100,6
1,11001,134
0,11100,74
0,11110,148
0,10001,243
0,01110,39
1,00101,205
1,01110,88
1,10111,188
1,00110,69
0,00100,100
0,11100,26
1,11111,180
0,11111,9
0,01111,178
0,01111,42
0,10100,65
0,11101,74
1,01000,76
1,01010,103
0,10010,160
0,10010,220
0,11111,245
0,00001,12
1,01111,162
1,01111,112
0,11100,22
0,01010,184
1,11001,111
1,00001,200
1,01011,196
1,11100,77
0,01011,83
1,11100,228
0,00100,57
1,10101,20
0,00010,230
1,00011,57
1,00011,167
1,11000,182
1,11101,250
0,11111,76
0,11000,189
0,01111,173
1,11000,81
1,00000,69
1,00100,190
0,00100,42
1,01000,69
0,10010,146
1,11111,93
1,01110,158
0,00001,15
0,01101,151
1,10110,216
1,11000,189
0,11101,184
0,11110,216
1,10000,231
1,11010,4
0,10110,160
0,00101,165
0,01100,147
1,11110,34
0,00100,219
0,10011,4
0,10010,115
0,01001,170
1,01110,248
0,01111,252
0,11101,35
0,01101,250
1,11011,181
0,01111,223
1,01011,16
1,11000,246
0,01101,195
1,11001,64
1,01011,45
1,01010,25
1,00101,115
1,01100,205
0,00111,10
0,01111,67
0,11011,137
1,01101,49
0,11110,118
0,01110,152
1,01100,8
1,01100,14
1,01011,240
0,11001,241
0,11111,134
0,11011,11
0,10111,74
0,11010,209
1,00110,111
1,11001,27
1,10000,252
1,11000,239
1,11110,191
1,11011,95
0,11011,106
1,10110,99
1,11101,118
0,01000,249
0,11100,175
0,00000,117
1,10000,240
0,00110,1
1,10111,147
0,00111,181
0,10011,91
1,00100,112
0,11001,10
1,00110,124
0,00010,199
0,01110,233
1,10100,85
1,10001,191
0,10010,73
1,11101,18
0,10110,28
0,10101,222
1,01001,42
1,00111,107
0,00101,241
1,10110,149
1,01110,49
0,10000,207
1,01011,38
0,10100,99
1,00110,80
0,11110,42
0,01100,164
0,11000,165
0,10011,238
0,00010,150
0,00101,60
0,10100,195
0,00001,205
0,10100,235
0,00110,98
1,01001,124
1,01010,171
0,01010,99
0,01111,199
1,00110,98
1,01001,90
0,11110,233
1,01101,51
0,01011,214
0,00010,75
0,11110,15
0,00100,174
1,01010,114
1,11001,102
1,00000,33
0,11010,42
1,10110,219
0,10000,143
0,00100,250
1,11011,228
0,00100,95
0,01010,2
0,10010,7
1,00001,72
1,01001,212
1,01001,78
0,00110,128
0,00110,245
1,01111,63
0,01000,250
0,00110,30
0,11100,221
0,11110,40
1,10100,59
0,00110,8
1,01010,97
0,00100,49
1,11100,45
1,00000,211
0,10110,117
1,10111,182
1,00001,124
0,10111,130
0,11100,106
1,10001,81
1,10001,80
1,00010,13
1,01101,47
0,01010,128
0,01111,122
1,10010,58
0,00011,168
1,10010,105
1,00101,72
1,00111,194
0,00110,207
1,00111,124
1,00110,212
0,10011,65
0,11011,64
0,01101,128
1,11110,9
1,10010,50
1,01100,7
0,10111,238
1,10110,184
0,10110,159
0,10101,173
0,00010,151
1,10001,155
1,01101,234
0,11110,94
0,00101,3
1,01001,210
0,00010,42
1,11001,249
0,00100,72
0,10111,47
0,01100,61
0,11110,120
1,00001,227
1,11110,228
1,01011,241
0,11101,27
1,10001,115
0,01111,42
0,01101,68
0,11000,100
1,11011,252
1,00011,190
1,10011,216
0,10000,253
0,01001,71
1,01000,246
1,00101,152
0,00101,24
1,10010,57
1,01100,56
1,10001,253
1,01101,80
0,10110,221
1,00001,206
1,00011,212
1,10011,109
0,10101,174
1,01011,0
1,11100,33
0,01111,227
0,11000,174
0,01000,42
1,11111,182
0,11010,213
0,10110,183
0,10111,118
0,01111,27
1,10001,43
1,00001,164
1,11101,101
1,10110,208
0,00011,192
1,01000,69
0,00000,47
0,10110,5
1,10001,222
0,10010,153
0,11100,84
0,11110,233
0,01101,250
1,00001,216
1,01001,126
0,00001,49
0,11000,106
1,10010,212
1,01100,137
0,01011,154
1,10110,49
1,10011,182
0,00000,153
0,00100,18
1,00000,90
0,11101,234
1,11100,85
0,00111,160
1,10001,101
0,10000,192
1,11000,152
1,00101,37
1,10100,190
0,10101,32
0,10100,177
1,01011,97
0,01111,254
1,00011,225
0,01111,91
1,11110,54
1,01110,217
